Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1738, 右監丞,you jian cheng,Assistant Supervisor of the Right,,,,,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1739, 典簿（典簿廳）,dian bu ting dian bu,Archivist of the Archives,,,,,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1740, 典署（良牧署）,liang mu shu dian shu,Manager of the Husbandry Office,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1741, 署丞（良牧署）,liang mu shu shu cheng,Vice Manager of the Husbandry Office,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1742, 錄事（良牧署）,liang mu shu lu shi,Overseer of the Husbandry Office,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1743, 典署（蕃育署）,fan yu shu dian shu,Manager of the Fowl Office,,,,[Yongle 5 (1407) – Jiajing 1 (1522)] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1744, 署丞（蕃育署）,fan yu shu shu cheng,Vice Manager of the Fowl Office,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1745, 錄事（蕃育署）,fan yu shu lu shi,Overseer of the Fowl Office,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1746, 典署（林衡署）,lin heng shu dian shu,Manager of the Office of Fruits and Flowers,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1747, 署丞（林衡署）,lin heng shu shu cheng,Vice Manager of the Office of Fruits and Flowers,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1748, 錄事（林衡署）,lin heng shu lu shi,Overseer of the Office of Fruits and Flowers,,,,[Yongle 5 (1407) – Jiajing 1 (1522)] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1749, 典署（嘉蔬署）,jia shu shu dian shu,Manager of the Office of Vegetables,,,,[Yongle 5 (1407) – Jiajing 1 (1522)] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1750, 署丞（嘉蔬署）,jia shu shu shu cheng,Vice Manager of the Office of Vegetables,,,,[Yongle 5 (1407) -] ,
中央輔佐官署類 Central Administration Assistance,寺監門 Courts and Directorates,上林苑監 The Directorate of Imperial Parks,1751, 錄事（嘉蔬署）,jia shu shu lu shi,Overseer of the Office of Vegetables,,,,[Yongle 5 (1407) – Jiajing 1 (1522)] ,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1753, 右善世,you shan shi,Right Buddhist Patriarch,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1754, 左闡教,zuo chan jiao,Left Supervisory Monk for Buddhist Practices,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1755, 右闡教,you chan jiao,Right Supervisor Monk for Buddhist practices,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1756, 左講經,zuo jiang jing,Left Lecturing Monk,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1757, 右講經,you jiang jing,Right Lecturing Monk,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1758, 左覺義,zuo jue yi,Left Buddhist Rectifier,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,僧錄司 The Central Buddhist Registry,1759, 右覺義,you jue yi,Right Buddhist Rectifier,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1760, 左正一 ,zuo zheng yi,Left Daoist Patriarch,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1761, 右正一 ,you zheng yi,Right Daoist Patriarch,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1762, 左演法,zuo yan fa,Left Expounder ,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1763, 右演法,you yan fa,Right Expounder ,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1764, 左至靈,zuo zhi ling,Left Sacrificial Priest,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1765, 右至靈,you zhi ling,Right Sacrificial Priest,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1766, 左玄義,zuo xuan yi,Left Elucidator for Daoist Bible,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,道錄司 The Central Taoist Registry,1767, 右玄義,you xuan yi,Right Elucidator for Daoist Bible,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1768, 正一真人（龍虎山）,long hu shan zheng yi zhen ren,Daoist Patriarch in Mt.Longhu,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1769, 法官（龍虎山）,long hu shan fa guan,Daoist Attendant for Exorcising Thunders and Evil Spirits in Mt. Longhu,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1770, 贊教（龍虎山）,long hu shan zan jiao,Daoist Assistant for Lecturing in Mt. Longhu,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1771, 掌書（龍虎山）,long hu shan zhang shu,Daoist Secretary in Mt. Longhu,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1772, 靈官（閣皁山）,ge zao shan ling guan,Numinous Daoist Officer in Mt. Gezao,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1773, 靈官（三茅山）,san mao shan ling guan,Numinous Daoist Officer in Mt. Sanmao,,,,,
中央輔佐官署類 Central Administration Assistance,僧道官門 Buddhist and Daoist Registries,名道觀 Significant Daoist Temples,1774, 提點（太和山）,tai he shan ti dian,Daoist Superintendent in Mt. Taihe,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1775, 左都御史,zuo du yu shi,Left Censor-in-chief,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1776, 右都御史,you du yu shi,Right Censor-in-chief,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1777, 左副都御史,zuo fu du yu shi,Left Vice Censor-in-chief,alt. 副都御史 fu du yu shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1778, 右副都御史,you fu du yu shi,Right Vice Censor-in-chief,alt. 副都御史 fu du yu shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1779, 左僉都御史,zuo qian du yu shi,Left Assistant Censor-in-chief,alt. 僉都御史 qian du yu shi; 僉院qian yuan,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1780, 右僉都御史,you qian du yu shi,Right Assistant Censor-in-chief,alt. 僉都御史 qian du yu shi; 僉院qian yuan,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1781, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1782, 都事（經歷司）,jing li si du shi,Office Manager of the Registry,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1783, 司務（司務廳）,si wu ting si wu,Manager of the General Services Office,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1784, 照磨（照磨所）,zhao mo suo zhao mo,Record Keeper in the Records Office,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1785, 檢校（照磨所）,zhao mo suo jian jiao,Proofreader in the Records Office,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1786, 司獄（司獄司）,si yu si si yu,Warder of the Prison,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1787, 監察都御史,jian cha du yu shi,Chief Investigating Censor,alt. 都御史 du yu shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1788, 監察御史（浙江道）,zhejiang dao jian cha yu shi,Investigating Censor of the Zhejiang Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1789, 監察御史（江西道）,jiangxi dao jian cha yu shi,Investigating Censor of the Jiangxi Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1790, 監察御史（福建道）,fujian dao jian cha yu shi,Investigating Censor of the Fujian Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1791, 監察御史（四川道）,sichuan dao jian cha yu shi,Investigating Censor of the Sichuan Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1792, 監察御史（陝西道）,shaanxi dao jian cha yu shi,Investigating Censor of the Shaanxi Circuit ,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1793, 監察御史（雲南道）,yunnan dao jian cha yu shi,Investigating Censor of the Yunnan Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,[Yongle 10 (1420) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1794, 監察御史（河南道）,henan dao jian cha yu shi,Investigating Censor of the Henan Circuit,,,,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1795, 監察御史（廣西道）,guangxi dao jian cha yu shi,Investigating Censor of the Guangxi Circuit,,,,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1796, 監察御史（廣東道）,guangdong dao jian cha yu shi,Investigating Censor of the Guangdong Circuit,,,,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1797, 監察御史（山西道）,shanxi dao jian cha yu shi,Investigating Censor of the Shanxi Circuit,,,,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1798, 監察御史（山東道）,shandong dao jian cha yu shi,Investigating Censor of the Shandong Circuit,,,,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1799, 監察御史（湖廣道）,huguang dao jian cha yu shi,Investigating Censor of the Huguang Circuit,,,,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1800, 監察御史（貴州道）,gui zhou dao jian cha yu shi,Investigating Censor of the Guizhou Circuit,alt. 御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,[Yongle 18 (1420) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1801, 監察御史（北京道）,bei jing dao jian cha yu shi,Investigating Censor of the Beijing Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,[Yongle 1 (1403) – Yongle 18 (1420)],
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1802, 監察御史（北平道）,bei ping dao jian cha yu shi,Investigating Censor of the Beiping Circuit,alt. 御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,[Hongwu 15 (1382) – Yongle 1 (1403)],
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1803, 監察御史（交阯道）,jiao zhi dao jian cha yu shi,Investigating Censor of the Jiaozhi Circuit,alt.御史yu shi; 耳目官er mu guan; 採訪使cai fang shi,,,[Yongle 18 (1420) – Xuande 10 (1435)],
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1804, 刷卷御史,shua juan yu shi,Record Checking Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1805, 清軍御史,qing jun yu shi,Army Inspection Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1806, 巡視京營御史,xun shi jing ying yu shi,Inspecting Censor of Capital Training Divisions,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1807, 巡視光祿御史,xun shi guang lu yu shi,Inspecting Censor of the Court of Imperial Entertainments,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1808, 巡視倉場御史,xun shi cang chang yu shi,Granary-inspecting Censor,,,,alt. 巡倉御史 xun cang yu shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1809, 巡視內庫御史,xun shi nei ku yu shi,Storehouse-inspecting Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1810, 巡城御史,xun cheng yu shi,Ward-inspecting Censor,,,,alt. 巡視五城御史 xun wu cheng yu shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1811, 巡視皇城御史,xun shi huang cheng yu shi,Inspecting Censor at Imperial Capital Wards,,,,alt. 巡皇城御史 xun huang cheng yu shi; 巡城御史 xun cheng yu shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1812, 巡江御史,xun jiang yu shi,River-patrol Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1813, 巡按御史,xun an yu shi,Regional Investigating Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1814, 提督學校御史,ti du xue xiao yu shi,Education-intendant Censor,,,,alt. 提?御史 ti xue yu shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1815, 巡鹽御史,xun yan yu shi,Salt-control Censor,,,,alt. 巡視鹽政御史 xun shi yan zheng yu shi,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1816, 巡茶馬御史,xun cha ma yu shi,Horse Trade Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1817, 巡漕御史 ,xun cao yu shi,Grain-Transport Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1818, 儹運御史,zan yun yu shi,Transport-control Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1819, 巡關御史,xun guan yu shi,Inspecting Censor of Great Wall Passes,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1820, 印馬御史,yin ma yu shi,Imperial-Horse-Inspecting Censor ,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1821, 屯田御史,tun tian yu shi,State-farm-inspecting Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,都察院 The Censorate,1822, 鈔關御史,chao guan yu shi,Customs-house-inspecting Censor,,,,[Xuande 4 (1429) – Zhengtong 10 (1445)],
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1823, 左御史大夫,zuo yu shi da fu,Left Censor-in-chief,,,,alt. 御史大夫 yu shi da fu,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1824, 右御史大夫,you yu shi da fu,Right Censor-in-chief,,,,alt. 御史大夫 yu shi da fu,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1825, 御史中丞,yu shi zhong cheng,Vice Censor-in-chief,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1826, 左中丞,zuo zhong cheng,Left Vice Censor-in-chief,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1827, 右中丞,you zhong cheng,Right Vice Censor-in-chief,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1828, 侍御史,shi yu shi,Attendant Censor,,,,alt. 侍御 shi yu,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1829, 左侍御史,zuo shi yu shi,Left Attendant Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1830, 右侍御史,you shi yu shi,Right Attendant Censor,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1831, 治書侍御史,zhi shu shi yu shi,Secretarial Censor,,,,"Abolished in Hongwu 9 (1376) per Ming Shi, juan 73",
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1832, 殿中侍御史,dian zhong shi yu shi,Palace Censor,,,,"Abolished in Hongwu 9 (1376) per Ming Shi, juan 73",
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1833, 監察御史（察院）,cha yuan jian cha yu shi,Investigating Censor in the Investigation Bureau,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1834, 經歷（察院）,cha yuan jing li,Registrar in the Investigation Bureau,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1835, 都事（察院）,cha yuan du shi,Office Manager in the Investigation Bureau,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1836, 照磨（察院）,cha yuan zhao mo,Record keeper in the Investigation Bureau,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史臺 The Censorate (1367-1380),1837, 管勾（察院）,cha yuan guan gou,Clerk in the Investigation Bureau,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史府 The Office of Censors (1400-1403),1838, 御史大夫,yu shi da fu,Censor-in-chief,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史府 The Office of Censors (1400-1403),1839, 御史（左院）,zuo yuan yu shi,Censor of the Left Tribunal,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,御史府 The Office of Censors (1400-1403),1840, 御史（右院）,you yuan yu shi,Censor of the Right Tribunal,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1841, 總督,zong du,Supreme Commander,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1842, 巡撫,xun fu,Grand Coordinator,,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1843, 總督漕運,zong du cao yun,"Director-general of Grain Transport, and Concurrently Superintendent of Miliary Affairs and Grand Coordinator in Fengyang",,,,alt. 漕運總督 cao yun zong du; 總督漕運兼提督軍務巡撫鳳陽等處zong du cao yun jian ti du jun wu xun fu feng yang deng chu; 總督漕運兼提督軍務巡撫鳳陽等處兼管河道 zong du cao yun jian ti du jun wu xun fu feng yang deng chu jian guan he dao,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1844, 薊遼總督 ,jiliao baoding zong du,"Supreme Commander of Military Affairs, and Concurrently Director-general of Supplies, in Jiliao and Baoding",alt. 總督薊遼、保定等處軍務兼理糧餉 zong du jiliao baoding deng chu jun wu jian li liang xiang,,,[Jiajing 29 (1550) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1845, 宣大總督,xuanda zong du,"Supreme Commander of Military Affairs, and Concurrently Director-general of Supplies, in Xuanda and Shanxi",alt. 總督宣大、山西等處軍務兼理糧餉 zong du jiliao baoding deng chu jun wu jian li liang xiang,,,[Jiajing 29 (1550) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1846, 三邊總督,san bian zong du,Supreme Commander of Military Affairs in the Three Frontiers of Shaanxi,alt. 三邊總制 san bian zong zhi; 總督陝西三邊軍務zong du shaanxi san bian jun wu,,,,"A post created in Jiajing 4 (1525), originally named as 三邊提督軍務 san bian ti du jun wu, but later changed to總制三邊軍務 zong zhi san bian jun wu in Jiajing 7 (1528) and 總督陝西三邊軍務 zong du shaanxi san bian jun wu in Jiajing 19year (1540)"
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1847, 兩廣總督,liang guang zong du,"Supreme Commander of Military Affairs and Director-general of Grain and Salt Supplies in Guangdong and Guangxi, and Grand Coordinator in Guangdong",alt. 總督兩廣軍務兼理糧餉帶管鹽法兼巡撫廣東地方 zong du liang guang jun wu jian li liang xiang dai guan yan fa jian xun fu guang dong di fang,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1848, 四川總督,sichuan zong du,"Supreme Commander of Military Affairs in Sichuan, Shaanxi, Henan and Huguang",alt. 總督四川、陝西、 河南、湖廣等處軍務 zong du sichuan shaanxi henan huguang deng chu jun wu,,,,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1849, 浙直總督,zhe zhi zong du,"Supreme Commander of Military Affairs in Zhejiang, Fujian, Jiangnan, plus Jiangxi",alt. 總督浙江、福建、江南兼制江西軍務zong du zhejiang fujian jiangnan jian zhi jiangxi jun wu,,,[Jiajing 33 (1554) – Jiajing 41 (1562)],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1850, 五省總督,wu sheng zong du,"Supreme Commander of Military Affairs in the Five Provinces, including Shaanxi, Shanxi, Henan, Huguang and Sichuan",alt. 總督陝西、 山西、 河南、湖廣、四川五省軍務 zong du shaanxi shanxi henan huguang sichuan wu sheng jun wu,,,[Chongzhen 7 (1634) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1851, 鳳陽總督,fengyang zong du,Supreme Commander of Military Affairs in Fengyang Plus Henan and Huguang,alt. 總督鳳陽地方兼制河南、湖廣軍務 zong du fengyang di fang jian zhi henan huguang jun wu,,,[Chongzhen 14 (1641) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1852, 河南總督,henan zong du,"Supreme Commander of Military Affairs in Henan and Huguang, and Concurrently Grand Coordinator in Henan",alt. 總督河南、湖廣軍務兼巡撫河南 zong du henan huguang jun wu jian xun fu henan,,,[Chongzhen 16 (1643) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1853, 九江總督,jiujiang zong du,Supreme Commander of Military Affairs in Jiujiang Plus Jiangxi and Huguang,alt. 總督九江地方兼制江西、湖廣軍務 zong du jiujiang di fang jian zhi jiangxi huguang jun wu,,,[Chongzhen 16 (1643) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1854, 總理軍務,zong li jun wu,"Superintendent of Military Affairs in the Southern Metropolitan Area, Henan, Shandong, Huguang and Sichuan",alt. 總理南直隸、河南、山東、湖廣、四川軍務 zong li nan zhi li henan shandong huguang sichuan jun wu,,,[Chongzhen 8(1635) -],
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1855, 總理河漕,zong li he chao,"Superintendent of the Grand Canal and Grain Transport, Plus Military Affairs","alt. 總理河漕兼提督軍務 zong li he chao jian ti du jun wu, 總督河道 zong du he dao, 河道總督 he dao zong du",,,[Yongle 9 (1411) – Wanli 8 (1580)] ,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1856, 總理糧儲,zong li liang chu,"Superintendent of Grain Supplies and Military Affairs, and Concurrently Grand Coordinator in Yintian and Other Surrounding Prefectures",,,,alt. 總理糧儲提督軍務兼巡撫應天等府 zong li liang chu ti du jun wu jian xun fu ying tian deng fu,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1857, 浙江巡撫,zhejiang xun fu ,Grand Coordinator and Concurrently Superintendent of Military Affairs in Zhejiang,,,,alt. 巡撫浙江等處地方兼提督軍務 xun fu zhejiang deng chu di fang jian ti du jun wu,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1858, 福建巡撫,fujian xun fu,Grand Coordinator and Concurrently Superintendent of Military Affairs in Fujian,,,,alt. 巡撫福建地方兼提督軍務 xun fu fujian di fang jian ti du jun wu,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1859, 順天巡撫,shuntian xun fu ,Grand Coordinator of Shuntian and Surrounding Prefectures and Surveillance Commissioner of Jizhou Military Defense Circuit,,,,alt. 巡撫順天等府地方兼整飭薊州等處邊備 xun fu shuntian deng fu di fang jian zheng chi ji zhou deng chu bian bei,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1860, 保定巡撫,baoding xun fu ,Grand Coordinator and Superintendent of Zijing and Other Passes Plus Canals in Baoding and Surrounding Prefectures,,,,alt. 巡撫保定等府提督紫荊等關兼管河道 xun fu baoding deng fu ti du zijing deng guan jian guan he dao,
司法監察機構類 Legislation and Censorship,監察門 Censorship,總督巡撫官 Supreme Commanders and Grand Coordinators,1861, 河南巡撫,henan xun fu,Grand Coordinator and Concurrently Superintendent of Canal Transportation and Military Affairs in Henan,,,,alt. 巡撫河南等處地方兼管河道提督軍務 xun fu henan deng chu di fang jian guan he dao ti du jun wu,
