Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,46, 左司直郎 ,zuo si zhi lang,Left Rectifier,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,47, 左清紀郎 ,zuo qing ji lang,Left Recorder of Misdeeds,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,48, 左司諫 ,zuo si jian,Left Remonstrator,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,49, 大學士 ,da xue shi,Grand Academician,alt. 春坊大學士 chun fang da xue shi,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,50, 右庶子 ,you shu zi,Right Mentor,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,51, 右諭德,you yu de,Right Adviser,alt. 右春坊諭德 you chun fang yu de; 春坊諭德 chun fang yu de,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,52, 右中允 ,you zhong yun,Right Companion,alt. 右春坊中允 you chun fang zhong yun; 春坊中允 chun fang zhong yun,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,53, 右贊善 ,you zan shan,Right Admonisher,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,54, 右司直郎 ,you si zhi lang,Right Rectifier,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,55, 右清紀郎 ,you qing ji lang,Right Recorder of Misdeeds,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,右春坊 The Right Secretariat of the Heir Apparent,56, 右司諫,you si jian ,Right Remonstrator,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,司經局 The Editorial Service,57, 洗馬 ,xi ma,Librarian,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,司經局 The Editorial Service,58, 校書 ,jiao shu,Editing Clerk,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,司經局 The Editorial Service,59, 正字 ,zheng zi,Proofreader,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,60, 資德 ,zi de,Assister toward Virtue,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,61, 資善 ,zi shan,Assister toward Goodness,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,62, 贊讀 ,zan du,Reading Assistant,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,63, 贊書 ,zan shu,Calligraphy Assistant,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,64, 著作郎 ,zhu zuo lang,Editorial Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,65, 典籍 ,dian ji,Archivist,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,66, 太子賓客 ,tai zi bin ke,Adviser to the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,67, 左詹事 ,zuo zhan shi,Left Supervisor of the Household,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,68, 右詹事 ,you zhan shi,Right Supervisor of the Household,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,69, 同知詹事院事 ,tong zhi zhan shi yuan shi,Associate Administrator of the Household,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,70, 副詹事 ,fu zhan shi,Vice Supervisor of the Household,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,71, 詹事丞 ,zhan shi cheng,Aide in the Household Administration ,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,72, 左率府使,zuo shuai fu shi,Commissioner of the Left Guard Command,alt. 太子左率府使 tai zi zuo shuai fu shi ,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,73, 右率府使 ,you shuai fu shi,Commissioner of the Right Guard Command,alt. 太子右率府使 tai zi you shuai fu shi ,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,74, 左率府副使 ,zuo shuai fu fu shi,Vice Commissioner of the Left Guard Command,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,75, 右率府副使 ,you shuai fu fu shi,Vice Commissioner of the Right Guard Command,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,76, 同知左率府事 ,tong zhi zuo shuai fu shi,Assistant Commissioner of the Left Guard Command,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,77, 同知右率府事 ,tong zhi you shuai fu shi,Assistant Commissioner of the Right Guard Command,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,78, 太子贊善大夫 ,tai zi zan shan da fu,Grand Master Admonisher for the Heir Apparent,alt. 贊善大夫 zan shan da fu,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,79, 太子文學 ,tai zi wen xue,Instructor for the Heir Apparent,alt. 文學 wen xue; 東宮文學 dong gong wen xue,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,80, 太子中舍 ,tai zi zhong she,Secretary for the Heir Apparent,alt. 中舍 zhong she,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,81, 太子正字 ,tai zi zheng zi,Proofreader for the Heir Apparent,alt. 正字 zheng zi; 東宮正字 dong gong zheng zi,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,82, 太子侍正 ,tai zi shi zheng,Attendant-in-chief for the Heir Apparent,alt. 侍正 shi zheng,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,83, 太子洗馬 ,tai zi xi ma,Librarian in the Eastern Palace,alt. 洗馬 xi ma; 東宮洗馬 dong gong xi ma,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,84, 太子庶子,tai zi shu zi,Mentor of the Heir Apparent,alt. 庶子 shu zi; 東宮庶子 dong gong shu zi,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,85, 伴讀 ,ban du,Reader-companion for the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,86, 贊讀 ,zan du,Reading Assistant for the Heir Apparent,alt. 東宮贊讀 dong gong zan du,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,資德院 The School for the Heir Apparent,87, 侍班講讀官 ,shi ban jiang du guan,Expositor-in-waiting and Reader-in-waiting for the Heir Apparent,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,88, 親王 ,qin wang,Imperial Prince,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,89, 王妃 ,wang fei,Princely Consort,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,90, 王世子 ,wang shi zi,Princely Heir,alt. 世子 shi zi,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,91, 世子妃 ,shi zi fei,Consort of a Princely Heir,,,,,
